"","Treatment","Timepoint","Photo","gs","Fv.Fm.","Starch","NSC","SM..."
"172","WW",8,15.90562255,0.459271969,0.699694877,9.127533677,2.593156322,29.4
"173","WW",8,15.56773276,0.536549033,0.711003378,13.41802993,3.507295174,32.2
"174","WW",8,12.48893139,0.41715296,0.615030158,14.18077943,3.063891142,37.3
"175","WW",8,10.13606344,0.593106878,0.746790472,8.671543181,2.806584362,30.1
"176","WW",8,10.56240307,0.571738191,0.693940244,12.22507536,2.553738171,31.6
"177","WW",8,9.551938324,0.626938008,0.662819417,20.1270449,3.086419753,27.9
"178","WW",8,10.84896691,0.548513541,0.685287427,9.712706322,2.748842593,33.2
"179","WW",8,12.51498539,0.613540425,0.753279901,22.8686149,2.671578388,29.6
"180","WW",8,10.44927048,0.443085446,0.710210532,16.40009788,3.135703901,24.3
"181","Dry",8,14.67220111,0.670523094,0.733210548,22.91802001,2.422052998,22.7
"182","Dry",8,15.9009505,0.555911598,0.699581995,24.1072854,2.59783293,21.9
"183","Dry",8,16.92413668,0.51043727,0.726195804,20.36380382,2.305588367,22.6
"184","Dry",8,18.56439684,0.609339052,0.748950587,8.12315755,2.098340119,19
"185","Dry",8,19.24924262,0.61836272,0.754489425,6.076883495,2.158577672,11
"186","Dry",8,18.93257576,0.519230643,0.756875037,22.06125302,2.202496533,21
"187","Dry",8,14.06536945,0.345161016,0.741550434,13.86025794,2.506439469,20.8
"188","Dry",8,16.07009316,0.353209973,0.731087716,14.81945428,2.351209993,18.8
"189","Dry",8,17.46321219,0.643269491,0.70491509,14.45707291,2.460218085,20.7
"190","Dry",8,10.66171534,0.173616124,0.742843778,11.41085271,2.886381527,24.1
"191","Dry",8,7.790392537,0.519390335,0.737955701,19.00198668,2.234494658,26.6
"192","Dry",8,8.269383508,0.358153973,0.727725977,24.18008348,2.712378641,23
"193","WW",9,8.50573707,0.32254922,0.66269254,16.5212455194102,2.06908521382313,33.5
